#Pin Out file generated by Lattice Diamond Version 3.11.3
#Generated at Tue Mar 16 21:58:26 2021
#DEVICE=LCMXO2-7000HC
#PACKAGE=TQFP144
Index, Pin/Ball Function, Type, Bank, Dual Function, Differential, Pin Number, DQS, I/O Grouping
442, NC_PT27D, , , -, , -, -, +, 
443, PT27D, IO, 0, PROGRAMN, Comp_OF_PT27C, 119, -, +, 
444, PT27A, IO, 0, -, True_OF_PT27B(LVDS)*, -, -, +, 
445, VCC, , , -, , -, -, +, 
446, NC_PT27C, , , -, , -, -, +, 
447, PT27C, IO, 0, JTAGENB, True_OF_PT27D, 120, -, +, 
448, PT26B, IO, 0, -, Comp_OF_PT26A(LVDS)*, -, -, +, 
449, VCCIO0, , 0, -, , -, -, +, 
450, PT26D, IO, 0, -, Comp_OF_PT26C, -, -, +, 
451, PT26A, IO, 0, -, True_OF_PT26B(LVDS)*, -, -, +, 
452, VCCIO0, , 0, -, , -, -, +, 
453, PT26C, IO, 0, -, True_OF_PT26D, -, -, +, 
454, PT25D, IO, 0, -, Comp_OF_PT25C, -, -, +, 
455, GND, , , -, , -, -, -, 
456, NC_FSAFE, , , -, , -, -, -, 
457, PT25B, IO, 0, -, Comp_OF_PT25A(LVDS)*, 121, -, -, 
458, PT25C, IO, 0, -, True_OF_PT25D, -, -, -, 
459, VCCIO0, , 0, -, , 123, -, -, 
460, PT25A, IO, 0, -, True_OF_PT25B(LVDS)*, 122, -, -, 
461, PT22B, IO, 0, -, Comp_OF_PT22A(LVDS)*, -, -, -, 
462, GND, , , -, , 124, -, +, 
463, NC_PT22D, , , -, , -, -, +, 
464, PT22D, IO, 0, SDA/PCLKC0_0, Comp_OF_PT22C, 125, -, +, 
465, PT22A, IO, 0, -, True_OF_PT22B(LVDS)*, -, -, +, 
466, VCC, , , -, , -, -, +, 
467, NC_PT22C, , , -, , -, -, +, 
468, PT22C, IO, 0, SCL/PCLKT0_0, True_OF_PT22D, 126, -, +, 
469, PT21B, IO, 0, -, Comp_OF_PT21A(LVDS)*, -, -, +, 
470, GND, , , -, , -, -, -, 
471, PT21D, IO, 0, -, Comp_OF_PT21C, -, -, -, 
472, PT21A, IO, 0, -, True_OF_PT21B(LVDS)*, -, -, -, 
473, NC_VWLP, , , -, , -, -, -, 
474, VCCIO0, , 0, -, , -, -, -, 
475, PT21C, IO, 0, -, True_OF_PT21D, -, -, -, 
476, PT18D, IO, 0, -, Comp_OF_PT18C, -, -, -, 
477, VCC, , , -, , -, -, -, 
478, NC_VCC, , , -, , -, -, -, 
479, PT18B, IO, 0, PCLKC0_1, Comp_OF_PT18A(LVDS)*, 127, -, -, 
480, PT18C, IO, 0, -, True_OF_PT18D, -, -, -, 
481, GND, , , -, , -, -, +, 
482, PT18A, IO, 0, PCLKT0_1, True_OF_PT18B(LVDS)*, 128, -, +, 
483, PT17B, IO, 0, -, Comp_OF_PT17A(LVDS)*, -, -, +, 
484, NC, , , -, , -, -, +, 
485, NC_PT17D, , , -, , -, -, +, 
486, PT17D, IO, 0, TMS, Comp_OF_PT17C, 130, -, +, 
487, PT17A, IO, 0, -, True_OF_PT17B(LVDS)*, -, -, +, 
488, VCCIO0, , 0, -, , -, -, +, 
489, PT17C, IO, 0, TCK, True_OF_PT17D, 131, -, +, 
490, NC_PT17C, , , -, , -, -, +, 
491, PT16B, IO, 0, -, Comp_OF_PT16A(LVDS)*, -, -, +, 
492, GND, , , -, , -, -, -, 
493, PT16D, IO, 0, -, Comp_OF_PT16C, -, -, -, 
494, PT16A, IO, 0, -, True_OF_PT16B(LVDS)*, -, -, -, 
495, VCCIO0, , 0, -, , -, -, -, 
496, NC_SPARE2, , , -, , -, -, -, 
497, PT16C, IO, 0, -, True_OF_PT16D, -, -, -, 
498, PT15D, IO, 0, -, Comp_OF_PT15C, -, -, -, 
499, VCCIO0, , 0, -, , -, -, -, 
500, PT15B, IO, 0, -, Comp_OF_PT15A(LVDS)*, 132, -, -, 
501, PT15C, IO, 0, -, True_OF_PT15D, -, -, -, 
502, VCC, , , -, , -, -, -, 
503, PT15A, IO, 0, -, True_OF_PT15B(LVDS)*, 133, -, -, 
504, PT14B, IO, 0, -, Comp_OF_PT14A(LVDS)*, -, -, -, 
505, GND, , , -, , 134, -, +, 
506, NC_PT14D, , , -, , -, -, +, 
507, PT14D, IO, 0, TDI, Comp_OF_PT14C, 136, -, +, 
508, PT14A, IO, 0, -, True_OF_PT14B(LVDS)*, -, -, +, 
509, VCCIO0, , 0, -, , 135, -, +, 
510, PT14C, IO, 0, TDO, True_OF_PT14D, 137, -, +, 
511, NC_PT14C, , , -, , -, -, +, 
512, PT13D, IO, 0, -, Comp_OF_PT13C, -, -, +, 
513, VCCIO0, , 0, -, , -, -, +, 
514, PT13B, IO, 0, -, Comp_OF_PT13A(LVDS)*, -, -, +, 
515, PT13C, IO, 0, -, True_OF_PT13D, -, -, +, 
516, GND, , , -, , -, -, -, 
517, NC_FLASHARRAYWELL, , , -, , -, -, -, 
518, PT13A, IO, 0, -, True_OF_PT13B(LVDS)*, -, -, -, 
519, PT12B, IO, 0, -, Comp_OF_PT12A(LVDS)*, -, -, -, 
520, GND, , , -, , -, -, +, 
521, PT12D, IO, 0, -, Comp_OF_PT12C, -, -, +, 
522, PT12A, IO, 0, -, True_OF_PT12B(LVDS)*, -, -, +, 
523, VCCIO0, , 0, -, , -, -, +, 
524, NC_V10MON, , , -, , -, -, +, 
525, PT12C, IO, 0, -, True_OF_PT12D, -, -, +, 
526, PT11D, IO, 0, -, Comp_OF_PT11C, -, -, +, 
527, VCCIO0, , 0, -, , -, -, +, 
528, PT11B, IO, 0, -, Comp_OF_PT11A(LVDS)*, 138, -, +, 
529, PT11C, IO, 0, -, True_OF_PT11D, -, -, +, 
530, VCC, , , -, , -, -, +, 
531, NC_V5MON, , , -, , -, -, +, 
532, PT11A, IO, 0, -, True_OF_PT11B(LVDS)*, 139, -, +, 
533, PT10D, IO, 0, -, Comp_OF_PT10C, -, -, +, 
534, GND, , , -, , -, -, -, 
535, PT10B, IO, 0, -, Comp_OF_PT10A(LVDS)*, 140, -, -, 
536, PT10C, IO, 0, -, True_OF_PT10D, -, -, -, 
537, NC, , , -, , -, -, -, 
538, NC, , , -, , -, -, -, 
539, PT10A, IO, 0, -, True_OF_PT10B(LVDS)*, 141, -, -, 
540, PT9D, IO, 0, -, Comp_OF_PT9C, -, -, -, 
541, VCCIO0, , 0, -, , -, -, -, 
542, NC_UFMWL0, , , -, , -, -, -, 
543, PT9B, IO, 0, -, Comp_OF_PT9A(LVDS)*, 142, -, -, 
544, PT9C, IO, 0, -, True_OF_PT9D, -, -, -, 
545, GND, , , -, , -, -, +, 
546, PT9A, IO, 0, -, True_OF_PT9B(LVDS)*, 143, -, +, 
547, VCC, , , -, , 144, -, +, 
548, GND, , , -, , -, -, -, 
549, GND, , , -, , -, -, +, 
550, GND, , , -, , -, -, -, 
551, GND, , , -, , -, -, +, 
552, GND, , , -, , -, -, -, 
553, GND, , , -, , -, -, +, 
554, GND, , , -, , -, -, -, 
555, GND, , , -, , -, -, +, 
556, GND, , , -, , -, -, -, 
557, GND, , , -, , -, -, +, 
558, GND, , , -, , -, -, -, 
559, GND, , , -, , -, -, +, 
560, GND, , , -, , -, -, -, 
561, GND, , , -, , -, -, +, 
562, GND, , , -, , -, -, -, 
563, GND, , , -, , -, -, +, 
564, GND, , , -, , -, -, -, 
565, GND, , , -, , -, -, +, 
566, GND, , , -, , -, -, -, 
567, GND, , , -, , -, -, +, 
568, GND, , , -, , -, -, -, 
569, GND, , , -, , -, -, +, 
570, GND, , , -, , -, -, -, 
571, GND, , , -, , -, -, +, 
572, GND, , , -, , -, -, -, 
573, GND, , , -, , -, -, +, 
574, GND, , , -, , -, -, -, 
575, VCC, , , -, , -, -, -, 
576, VCC, , , -, , -, -, -, 
577, VCC, , , -, , -, -, -, 
578, VCC, , , -, , -, -, -, 
579, VCC, , , -, , -, -, -, 
580, VCC, , , -, , -, -, -, 
581, VCC, , , -, , -, -, -, 
582, VCC, , , -, , -, -, -, 
583, VCCIO0, , 0, -, , -, -, -, 
584, VCCIO0, , 0, -, , -, -, -, 
585, VCCIO3, , 3, -, , -, -, +, 
586, VCCIO3, , 3, -, , -, -, +, 
587, VCCIO4, , 4, -, , -, -, -, 
588, VCCIO5, , 5, -, , -, -, +, 
589, VCCIO5, , 5, -, , -, -, +, 
590, VCCIO0, , 0, -, , -, -, -, 
591, VCCIO0, , 0, -, , -, -, -, 
592, VCCIO0, , 0, -, , -, -, -, 
593, VCCIO1, , 1, -, , -, -, +, 
594, VCCIO1, , 1, -, , -, -, +, 
595, VCCIO1, , 1, -, , -, -, +, 
596, VCCIO1, , 1, -, , -, -, +, 
597, VCCIO1, , 1, -, , -, -, +, 
598, VCCIO2, , 2, -, , -, -, -, 
599, VCCIO2, , 2, -, , -, -, -, 
600, VCCIO2, , 2, -, , -, -, -, 
601, VCCIO2, , 2, -, , -, -, -, 
602, VCCIO2, , 2, -, , -, -, -, 
603, GND, , , -, , -, -, +, 
604, GND, , , -, , -, -, -, 
605, GND, , , -, , -, -, +, 
606, GND, , , -, , -, -, -, 
607, GND, , , -, , -, -, +, 
608, GND, , , -, , -, -, -, 
609, VCCIO4, , 4, -, , -, -, -, 
610, GND, , , -, , -, -, +, 
611, GND, , , -, , -, -, -, 
612, GND, , , -, , -, -, +, 
613, GND, , , -, , -, -, -, 
614, GND, , , -, , -, -, +, 
615, GND, , , -, , -, -, -, 
616, GND, , , -, , -, -, +, 
617, GND, , , -, , -, -, -, 
618, GND, , , -, , -, -, +, 
619, GND, , , -, , -, -, -, 
620, GND, , , -, , -, -, +, 
621, GND, , , -, , -, -, -, 
622, GND, , , -, , -, -, +, 
623, GND, , , -, , -, -, -, 
624, GND, , , -, , -, -, +, 
625, GND, , , -, , -, -, -, 
626, GND, , , -, , -, -, +, 
627, GND, , , -, , -, -, -, 
628, GND, , , -, , -, -, +, 
629, GND, , , -, , -, -, -, 
630, GND, , , -, , -, -, +, 
631, GND, , , -, , -, -, -, 
632, GND, , , -, , -, -, +, 
633, GND, , , -, , -, -, -, 
634, GND, , , -, , -, -, +, 
635, GND, , , -, , -, -, -, 
636, GND, , , -, , -, -, +, 
637, GND, , , -, , -, -, -, 
638, GND, , , -, , -, -, +, 
639, GND, , , -, , -, -, -, 
640, GND, , , -, , -, -, +, 
641, GND, , , -, , -, -, -, 
642, GND, , , -, , -, -, +, 
643, GND, , , -, , -, -, -, 
644, GND, , , -, , -, -, +, 
645, GND, , , -, , -, -, -, 
646, GND, , , -, , -, -, +, 
647, GND, , , -, , -, -, -, 
648, GND, , , -, , -, -, +, 
649, GND, , , -, , -, -, -, 
650, GND, , , -, , -, -, +, 
651, GND, , , -, , -, -, -, 
652, GND, , , -, , -, -, +, 
653, GND, , , -, , -, -, -, 
654, GND, , , -, , -, -, +, 
655, GND, , , -, , -, -, -, 
656, GND, , , -, , -, -, +, 
657, GND, , , -, , -, -, -, 
658, VCC, , , -, , -, -, -, 
659, VCC, , , -, , -, -, -, 
660, VCC, , , -, , -, -, -, 
661, VCC, , , -, , -, -, -, 
662, VCC, , , -, , -, -, -, 
663, VCC, , , -, , -, -, -, 
664, VCC, , , -, , -, -, -, 
665, VCC, , , -, , -, -, -, 
666, VCC, , , -, , -, -, -, 
667, VCC, , , -, , -, -, -, 
668, VCC, , , -, , -, -, -, 
669, VCC, , , -, , -, -, -, 
670, VCCIO0, , 0, -, , -, -, -, 
671, VCCIO0, , 0, -, , -, -, -, 
672, VCCIO0, , 0, -, , -, -, -, 
673, VCCIO0, , 0, -, , -, -, -, 
674, VCCIO0, , 0, -, , -, -, -, 
675, VCCIO0, , 0, -, , -, -, -, 
676, VCCIO0, , 0, -, , -, -, -, 
677, VCCIO0, , 0, -, , -, -, -, 
678, VCCIO0, , 0, -, , -, -, -, 
679, VCCIO0, , 0, -, , -, -, -, 
680, VCCIO0, , 0, -, , -, -, -, 
681, VCCIO0, , 0, -, , -, -, -, 
682, VCCIO1, , 1, -, , -, -, +, 
683, VCCIO1, , 1, -, , -, -, +, 
684, VCCIO1, , 1, -, , -, -, +, 
685, VCCIO1, , 1, -, , -, -, +, 
686, VCCIO1, , 1, -, , -, -, +, 
687, VCCIO1, , 1, -, , -, -, +, 
688, VCCIO1, , 1, -, , -, -, +, 
689, VCCIO1, , 1, -, , -, -, +, 
690, VCCIO1, , 1, -, , -, -, +, 
691, VCCIO1, , 1, -, , -, -, +, 
692, VCCIO1, , 1, -, , -, -, +, 
693, VCCIO1, , 1, -, , -, -, +, 
694, VCCIO2, , 2, -, , -, -, -, 
695, VCCIO2, , 2, -, , -, -, -, 
696, VCCIO2, , 2, -, , -, -, -, 
697, VCCIO2, , 2, -, , -, -, -, 
698, VCCIO2, , 2, -, , -, -, -, 
699, VCCIO2, , 2, -, , -, -, -, 
700, VCCIO2, , 2, -, , -, -, -, 
701, VCCIO2, , 2, -, , -, -, -, 
702, VCCIO2, , 2, -, , -, -, -, 
703, VCCIO2, , 2, -, , -, -, -, 
704, VCCIO2, , 2, -, , -, -, -, 
705, VCCIO2, , 2, -, , -, -, -, 
706, VCCIO3, , 3, -, , -, -, +, 
707, VCCIO3, , 3, -, , -, -, +, 
708, VCCIO3, , 3, -, , -, -, +, 
709, VCCIO3, , 3, -, , -, -, +, 
710, VCCIO4, , 4, -, , -, -, -, 
711, NC, , 0, -, , -, -, +, 
712, NC, , 0, -, , -, -, +, 
713, NC, , 0, -, , -, -, +, 
714, NC, , 0, -, , -, -, +, 
715, NC, , 0, -, , -, -, +, 
716, NC, , 0, -, , -, -, +, 
717, NC, , 0, -, , -, -, +, 
718, NC, , 0, -, , -, -, +, 
719, NC, , 0, -, , -, -, +, 
720, NC, , 0, -, , -, -, +, 
721, NC, , 0, -, , -, -, +, 
722, NC, , 0, -, , -, -, +, 
723, NC, , 1, -, , -, -, -, 
724, NC, , 1, -, , -, -, -, 
725, NC, , 1, -, , -, -, -, 
726, NC, , 1, -, , -, -, -, 
727, NC, , 1, -, , -, -, -, 
728, NC, , 1, -, , -, -, -, 
729, NC, , 1, -, , -, -, -, 
730, NC, , 1, -, , -, -, -, 
731, NC, , 1, -, , -, -, -, 
732, NC, , 1, -, , -, -, -, 
733, NC, , 1, -, , -, -, -, 
734, NC, , 1, -, , -, -, -, 
735, NC, , 2, -, , -, -, +, 
736, NC, , 2, -, , -, -, +, 
737, NC, , 2, -, , -, -, +, 
738, NC, , 2, -, , -, -, +, 
739, NC, , 2, -, , -, -, +, 
740, NC, , 2, -, , -, -, +, 
741, NC, , 2, -, , -, -, +, 
742, NC, , 2, -, , -, -, +, 
743, NC, , 2, -, , -, -, +, 
744, NC, , 2, -, , -, -, +, 
745, NC, , 2, -, , -, -, +, 
746, NC, , 2, -, , -, -, +, 
747, NC, , 3, -, , -, -, -, 
748, NC, , 3, -, , -, -, -, 
749, NC, , 3, -, , -, -, -, 
750, NC, , 3, -, , -, -, -, 
751, NC, , 5, -, , -, -, +, 
752, NC, , 5, -, , -, -, +, 
753, NC, , 3, -, , -, -, -, 
754, NC, , 3, -, , -, -, -, 
755, NC, , 3, -, , -, -, -, 
756, NC, , 3, -, , -, -, -, 
757, NC, , 5, -, , -, -, +, 
758, NC, , 5, -, , -, -, +, 
759, VCC, , , -, , -, -, +, 
760, VCC, , , -, , -, -, +, 
761, VCCIO4, , 4, -, , -, -, -, 
762, VCCIO4, , 4, -, , -, -, -, 
763, VCCIO4, , 4, -, , -, -, -, 
764, VCCIO5, , 5, -, , -, -, +, 
765, VCCIO5, , 5, -, , -, -, +, 
766, VCCIO5, , 5, -, , -, -, +, 
767, VCCIO5, , 5, -, , -, -, +, 
768, VCC, , , -, , -, -, +, 
769, VCC, , , -, , -, -, +, 
770, VCC, , , -, , -, -, +, 
771, VCCIO1, , 1, -, , -, -, -, 
772, GND, , , -, , -, -, +, 
773, GND, , , -, , -, -, -, 
774, NC, , , -, , 129, -, -, 
